TÃªn chiáº¿n dá»ch,TÃªn quáº£ng cÃ¡o,NgÃ y,Sá» tiá»n ÄÃ£ chi tiÃªu (VND),LÆ°á»£t báº¯t Äáº§u cuá»c trÃ² chuyá»n qua tin nháº¯n,NgÆ°á»i tiáº¿p cáº­n,LÆ°á»£t hiá»n thá»,Táº§n suáº¥t,LÆ°á»£t click vÃ o áº£nh,LÆ°á»£t phÃ¡t video trong tá»i thiá»u 3 giÃ¢y,ThruPlay,LÆ°á»£t bÃ y tá» cáº£m xÃºc vá» bÃ i viáº¿t,BÃ¬nh luáº­n vá» bÃ i viáº¿t,LÆ°á»£t chia sáº» bÃ i viáº¿t,LÆ°á»£t lÆ°u bÃ i viáº¿t,LÆ°á»£t thÃ­ch trÃªn Facebook,LÆ°á»£t click vÃ o liÃªn káº¿t,LÆ°á»£t báº¯t Äáº§u bÃ¡o cÃ¡o,LÆ°á»£t káº¿t thÃºc bÃ¡o cÃ¡o
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-04,27219,2,180,185,"1,02777778",,43,11,,,,,,2,2026-05-04,2026-05-04
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-04,38609,3,638,708,"1,10971787",,106,26,,,,,,4,2026-05-04,2026-05-04
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260423 - 1437085235101658,2026-05-04,8468,,128,146,"1,140625",,22,9,,,,,,,2026-05-04,2026-05-04
S03 - PD x AKIA - Message,Qrevo C Pro - 260504 - 1403320278479976,2026-05-04,47852,1,286,311,"1,08741259",,118,22,2,,,,,3,2026-05-04,2026-05-04
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260504 - 122134267881138166,2026-05-04,24460,,138,142,"1,02898551",,58,16,,,,,,1,2026-05-04,2026-05-04
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260504 - 1446237434186438,2026-05-04,13544,,261,318,"1,2183908",,81,15,,,,,,,2026-05-04,2026-05-04
S03 - MD x BKC - Message,F25 Ultra - 260417 - 939155645527343,2026-05-04,217,,1,1,1,,,,,,,,,,2026-05-04,2026-05-04
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-05-03,5325,,27,28,"1,03703704",,13,3,,,,,,,2026-05-03,2026-05-03
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-05-03,71875,5,625,668,"1,0688",,208,47,1,,,,,15,2026-05-03,2026-05-03
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928046746638233,2026-05-03,214035,48,2140,2395,"1,11915888",,1088,266,12,3,,,,68,2026-05-03,2026-05-03
S03 - MD x BKC - Message,Qrevo Edge 2 - 260406 - 928039836638924,2026-05-03,34233,2,165,182,"1,1030303",,76,29,1,,,,,5,2026-05-03,2026-05-03
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-03,38601,6,312,316,"1,01282051",,160,36,,,,,,8,2026-05-03,2026-05-03
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260402 - 1376808357797835,2026-05-03,35214,2,201,216,"1,07462687",,87,29,2,,,,,2,2026-05-03,2026-05-03
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-03,64697,4,588,635,"1,07993197",,181,59,,1,,,,12,2026-05-03,2026-05-03
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-05-03,199250,23,1330,1704,"1,28120301",,541,225,4,1,1,,,64,2026-05-03,2026-05-03
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927936053315969,2026-05-03,2300,,18,18,1,,8,3,,,,,,,2026-05-03,2026-05-03
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-03,31619,5,1173,1245,"1,06138107",,415,162,4,1,,,,9,2026-05-03,2026-05-03
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-05-03,10550,,215,220,"1,02325581",,50,10,,,,,,3,2026-05-03,2026-05-03
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-05-03,4646,,77,79,"1,02597403",,20,9,2,,1,,,3,2026-05-03,2026-05-03
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260423 - 1437085235101658,2026-05-03,40013,1,809,947,"1,17058096",,162,38,1,,,,,2,2026-05-03,2026-05-03
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-03,36727,1,649,723,"1,11402157",,123,33,3,,,,,3,2026-05-03,2026-05-03
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-03,58113,1,509,540,"1,06090373",,147,37,1,,,1,,2,2026-05-03,2026-05-03
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-03,35666,4,573,650,"1,13438045",,172,46,,,,,,9,2026-05-03,2026-05-03
S03 - MD x BKC - Message,F25 Ultra - 260410 - 933713546071553,2026-05-03,38657,,179,208,"1,16201117",,116,36,3,,,,,9,2026-05-03,2026-05-03
S03 - PD x MiSmart - Message,Qrevo C Pro - 260406 -  122268981068062219,2026-05-03,13621,1,354,362,"1,02259887",,162,25,2,,,,,5,2026-05-03,2026-05-03
S03 - MD x BKC - Message,Qrevo Edge 2 - 260410 - 933622292747345,2026-05-03,1518,,2,2,1,,1,,,,,,,,2026-05-03,2026-05-03
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-03,52211,7,764,774,"1,01308901",,432,135,3,1,,,,11,2026-05-03,2026-05-03
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-02,15481,1,246,259,"1,05284553",,64,27,1,,,,,4,2026-05-02,2026-05-02
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-02,25343,1,936,957,"1,0224359",,272,110,,1,,,,4,2026-05-02,2026-05-02
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260327 - 122267988968062219,2026-05-02,21143,1,429,439,"1,02331002",,60,15,,,,,,1,2026-05-02,2026-05-02
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-05-02,150561,12,746,994,"1,33243968",,299,123,,1,,,,22,2026-05-02,2026-05-02
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-02,37164,4,335,351,"1,04776119",,108,25,,1,,,,6,2026-05-02,2026-05-02
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260402 - 1376808357797835,2026-05-02,2364,,22,23,"1,04545455",,7,3,,,,,,,2026-05-02,2026-05-02
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-05-02,1659,,25,25,1,,6,1,,,,,,,2026-05-02,2026-05-02
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-02,17010,1,178,179,"1,00561798",,78,18,,,,,,1,2026-05-02,2026-05-02
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-05-02,1144,,4,4,1,,3,,,,,,,,2026-05-02,2026-05-02
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928046746638233,2026-05-02,149435,34,1497,1671,"1,11623246",,751,209,6,2,1,,,59,2026-05-02,2026-05-02
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-05-02,44180,1,484,525,"1,08471074",,161,33,2,,,,,8,2026-05-02,2026-05-02
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-05-02,42,,1,1,1,,,,,,,,,,2026-05-02,2026-05-02
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-02,107,,5,5,1,,1,,,,,,,,2026-05-02,2026-05-02
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260421 - 1435420288601486,2026-05-02,24954,,687,751,"1,09315866",,144,22,1,,,,,,2026-05-02,2026-05-02
S03 - PD x MiSmart - Message,Qrevo C Pro - 260406 -  122268981068062219,2026-05-02,263,,15,15,1,,8,3,,,,,,,2026-05-02,2026-05-02
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260423 - 1437085235101658,2026-05-02,3929,,136,142,"1,04411765",,30,9,2,,,,,1,2026-05-02,2026-05-02
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-02,38757,2,692,758,"1,09537572",,133,38,2,1,,,,7,2026-05-02,2026-05-02
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-02,42998,2,515,545,"1,05825243",,131,32,,,,,,4,2026-05-02,2026-05-02
S03 - PD x AKIA - Message,Qrevo C Pro - 260426 - 1397796915698979,2026-05-02,13442,,122,126,"1,03278689",,31,10,,,,,,,2026-05-02,2026-05-02
S03 - MD x BKC - Message,F25 Ultra - 260417 - 939155645527343,2026-05-02,13902,,33,43,"1,3030303",,23,6,,,,,,2,2026-05-02,2026-05-02
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-05-02,1526,,25,25,1,,11,4,,,,,,,2026-05-02,2026-05-02
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-02,33315,4,595,596,"1,00168067",,322,69,3,,,,,6,2026-05-02,2026-05-02
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-05-02,11292,,111,115,"1,03603604",,37,9,,,,,,,2026-05-02,2026-05-02
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-01,40008,3,831,912,"1,09747292",,215,57,,1,1,,,10,2026-05-01,2026-05-01
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-01,32041,3,932,982,"1,05364807",,305,91,1,1,,,,4,2026-05-01,2026-05-01
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-05-01,146801,12,950,1136,"1,19578947",,373,160,,3,,,1,33,2026-05-01,2026-05-01
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-01,37101,1,397,422,"1,06297229",,129,33,1,,,,,2,2026-05-01,2026-05-01
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260402 - 1376808357797835,2026-05-01,1044,,5,5,1,,2,2,,,,,,,2026-05-01,2026-05-01
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-05-01,275,,1,1,1,,,,,,,,,,2026-05-01,2026-05-01
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928046746638233,2026-05-01,95257,15,757,839,"1,10832232",,410,103,2,1,,,,25,2026-05-01,2026-05-01
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927936053315969,2026-05-01,110851,7,621,783,"1,26086957",,303,100,1,,,,,26,2026-05-01,2026-05-01
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927550426687865,2026-05-01,7058,,37,42,"1,13513514",,16,5,,,,,,3,2026-05-01,2026-05-01
S03 - MD x BKC - Message,Qrevo Edge 2 - 260406 - 928039836638924,2026-05-01,44106,,165,202,"1,22424242",,90,28,,,,,,1,2026-05-01,2026-05-01
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-05-01,768,,23,24,"1,04347826",,7,3,,,,,,,2026-05-01,2026-05-01
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-01,21655,1,217,223,"1,02764977",,121,26,,,,,,2,2026-05-01,2026-05-01
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-05-01,22654,,236,246,"1,04237288",,95,24,,,,,,,2026-05-01,2026-05-01
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-05-01,19823,1,150,155,"1,03333333",,54,11,,,,,,1,2026-05-01,2026-05-01
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-01,56539,4,858,880,"1,02564103",,504,142,,2,,,,8,2026-05-01,2026-05-01
S03 - PD x AKIA - Message,Qrevo C Pro - 260426 - 1397796915698979,2026-05-01,29248,,248,258,"1,04032258",,72,15,,,,,,,2026-05-01,2026-05-01
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-01,31503,1,669,725,"1,08370703",,101,29,,,,,,5,2026-05-01,2026-05-01
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-01,49897,1,461,471,"1,02169197",,122,29,,,,,,5,2026-05-01,2026-05-01
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260421 - 1435420288601486,2026-05-01,40082,,1058,1195,"1,1294896",,249,46,,,,,,,2026-05-01,2026-05-01
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-05-01,46514,6,392,416,"1,06122449",,133,37,1,,,,,9,2026-05-01,2026-05-01
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-05-01,29570,1,120,124,"1,03333333",,54,9,1,,,,,3,2026-05-01,2026-05-01
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-05-01,20265,,139,148,"1,0647482",,42,14,,,,,,,2026-05-01,2026-05-01
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-05-01,4570,,227,236,"1,03964758",,51,13,1,1,,,,,2026-05-01,2026-05-01
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-05-01,26421,2,678,766,"1,12979351",,157,35,1,,,,,10,2026-05-01,2026-05-01
S03 - MD x BKC - Message,Qrevo Edge 2 - 260410 - 933622292747345,2026-05-01,14334,,40,48,"1,2",,17,8,,,,,,,2026-05-01,2026-05-01
S03 - MD x BKC - Message,Qrevo Edge 2 - 260406 - 928039836638924,2026-04-30,5040,,20,23,"1,15",,13,7,,,,,,,2026-04-30,2026-04-30
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928046746638233,2026-04-30,151778,21,1358,1513,"1,11413844",,677,170,3,,1,,,43,2026-04-30,2026-04-30
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-04-30,1088,,10,10,1,,3,,,,,,,,2026-04-30,2026-04-30
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927550426687865,2026-04-30,8122,,25,32,"1,28",,13,4,,,,,,,2026-04-30,2026-04-30
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-04-30,44984,3,469,507,"1,08102345",,159,32,1,,,,,4,2026-04-30,2026-04-30
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-04-30,17643,2,146,147,"1,00684932",,76,19,,,,,,2,2026-04-30,2026-04-30
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-04-30,3147,,7,7,1,,1,1,,,,,,1,2026-04-30,2026-04-30
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-04-30,8146,,59,62,"1,05084746",,14,4,,,,,,,2026-04-30,2026-04-30
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-04-30,37207,2,322,339,"1,05279503",,110,34,2,,,,,5,2026-04-30,2026-04-30
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-04-30,198985,18,1593,1849,"1,16070308",,618,259,5,,,,,54,2026-04-30,2026-04-30
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260327 - 122267988968062219,2026-04-30,3811,,73,78,"1,06849315",,14,4,,,,,,1,2026-04-30,2026-04-30
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-04-30,24179,1,658,728,"1,10638298",,221,85,2,,,,,2,2026-04-30,2026-04-30
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-04-30,26508,3,457,521,"1,14004376",,117,29,,,,1,,8,2026-04-30,2026-04-30
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-30,19019,4,158,171,"1,08227848",,59,21,2,,,,,4,2026-04-30,2026-04-30
S03 - PD x MiSmart - Message,Qrevo C Pro - 260406 -  122268981068062219,2026-04-30,30513,1,682,684,"1,00293255",,277,66,3,,1,,,11,2026-04-30,2026-04-30
S03 - MD x BKC - Message,F25 Ultra - 260417 - 939155645527343,2026-04-30,3595,,13,13,1,,8,2,,,,,,,2026-04-30,2026-04-30
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-30,30331,2,524,524,1,,306,82,1,1,1,,,7,2026-04-30,2026-04-30
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-04-30,9694,1,121,132,"1,09090909",,26,7,,,,,,2,2026-04-30,2026-04-30
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-04-30,37931,2,355,371,"1,04507042",,99,19,,,,,,2,2026-04-30,2026-04-30
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260421 - 1435420288601486,2026-04-30,21547,1,393,483,"1,22900763",,86,12,2,,,,,,2026-04-30,2026-04-30
S03 - PD x AKIA - Message,Qrevo C Pro - 260426 - 1397796915698979,2026-04-30,20046,1,140,151,"1,07857143",,45,13,1,,,,,1,2026-04-30,2026-04-30
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-04-30,2155,,8,8,1,,3,2,,,,,,,2026-04-30,2026-04-30
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-30,28938,1,561,679,"1,21033868",,138,29,1,,1,,1,11,2026-04-30,2026-04-30
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-30,28608,1,196,211,"1,07653061",,71,12,,,,,,4,2026-04-30,2026-04-30
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-30,25966,,210,232,"1,1047619",,67,18,,,,,,1,2026-04-30,2026-04-30
S03 - MD x BKC - Message,F25 Ultra - 260410 - 933713546071553,2026-04-30,4632,,14,14,1,,8,2,,,,,,,2026-04-30,2026-04-30
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-30,22402,,177,190,"1,07344633",,53,20,,,,,,,2026-04-30,2026-04-30
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-04-29,23256,4,132,140,"1,06060606",,82,18,,,1,,,4,2026-04-29,2026-04-29
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-04-29,40556,3,298,312,"1,04697987",,97,26,,,,,,5,2026-04-29,2026-04-29
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928090599967181,2026-04-29,841,,2,2,1,,2,,,,,,,,2026-04-29,2026-04-29
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928046746638233,2026-04-29,165518,20,1286,1476,"1,14774495",,696,170,5,4,,,,47,2026-04-29,2026-04-29
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-04-29,4658,,6,6,1,,4,2,,,,,,1,2026-04-29,2026-04-29
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-04-29,48601,1,247,278,"1,12550607",,94,23,1,,1,,,1,2026-04-29,2026-04-29
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-04-29,524,,4,4,1,,1,,,,,,,,2026-04-29,2026-04-29
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260402 - 1376808357797835,2026-04-29,6444,,20,24,"1,2",,7,3,,,,,,,2026-04-29,2026-04-29
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-04-29,64289,3,481,538,"1,11850312",,195,74,,,,,,15,2026-04-29,2026-04-29
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 923469843762590,2026-04-29,70797,1,271,342,"1,26199262",,115,49,1,,,1,,5,2026-04-29,2026-04-29
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-04-29,38016,3,426,553,"1,29812207",,115,26,,,,,,6,2026-04-29,2026-04-29
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-04-29,25677,2,583,716,"1,22813036",,175,70,1,1,,,,3,2026-04-29,2026-04-29
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-29,33450,4,471,476,"1,01061571",,255,68,,,,,,4,2026-04-29,2026-04-29
S03 - MD x BKC - Message,Qrevo Edge 2 - 260408 - 932166802892894,2026-04-29,34948,,83,94,"1,13253012",,30,9,,,1,,,3,2026-04-29,2026-04-29
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-04-29,43222,2,285,304,"1,06666667",,81,22,1,,,,,4,2026-04-29,2026-04-29
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-29,12896,,87,97,"1,11494253",,37,10,1,,,,,,2026-04-29,2026-04-29
S03 - PD x AKIA - Message,Qrevo C Pro - 260426 - 1397796915698979,2026-04-29,18856,1,120,134,"1,11666667",,33,11,,,,,,1,2026-04-29,2026-04-29
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260423 - 1437085235101658,2026-04-29,21192,1,366,444,"1,21311475",,64,11,1,,,,,1,2026-04-29,2026-04-29
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-04-29,34343,,363,441,"1,21487603",,81,25,1,,,,,3,2026-04-29,2026-04-29
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-29,24171,1,116,126,"1,0862069",,47,6,,,,,,1,2026-04-29,2026-04-29
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260421 - 1435420288601486,2026-04-29,2006,,27,27,1,,,,,,,,,,2026-04-29,2026-04-29
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-29,29872,1,478,631,"1,32008368",,123,22,,1,,,1,8,2026-04-29,2026-04-29
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-29,17999,,148,182,"1,22972973",,51,10,,,,,,1,2026-04-29,2026-04-29
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-29,28845,1,199,243,"1,22110553",,60,19,1,,,,,1,2026-04-29,2026-04-29
S03 - MD x BKC - Message,Qrevo Edge 2 - 260410 - 933622292747345,2026-04-29,186,,1,2,2,,,,,,,,,,2026-04-29,2026-04-29
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928046746638233,2026-04-28,130871,24,1117,1384,"1,23903312",,633,158,6,4,2,,,35,2026-04-28,2026-04-28
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-04-28,9486,,85,100,"1,17647059",,36,11,,,,,,1,2026-04-28,2026-04-28
S03 - MD x BKC - Message,Qrevo Edge 2 - 260406 - 928039836638924,2026-04-28,5108,,16,16,1,,4,2,,,,,,1,2026-04-28,2026-04-28
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927550426687865,2026-04-28,13938,,70,82,"1,17142857",,35,11,,,,,,,2026-04-28,2026-04-28
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-04-28,51724,1,244,286,"1,17213115",,92,28,,,,,,6,2026-04-28,2026-04-28
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-04-28,43216,1,262,293,"1,11832061",,97,29,2,,,,,6,2026-04-28,2026-04-28
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-04-28,29592,2,166,190,"1,14457831",,100,22,,,,,,2,2026-04-28,2026-04-28
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122128996677138166,2026-04-28,12013,,21,24,"1,14285714",,9,3,,,,,,,2026-04-28,2026-04-28
S03 - PD x MiSmart - Message,Qrevo C Pro - 260406 -  122268981068062219,2026-04-28,13956,,170,191,"1,12352941",,87,18,2,,,,,3,2026-04-28,2026-04-28
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-04-28,135893,16,903,1070,"1,18493909",,367,156,3,1,,,,37,2026-04-28,2026-04-28
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 923469843762590,2026-04-28,49627,,183,206,"1,12568306",,85,26,,,,,,2,2026-04-28,2026-04-28
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-04-28,22969,,375,604,"1,61066667",,132,40,1,,,,,1,2026-04-28,2026-04-28
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-04-28,24321,1,192,254,"1,32291667",,69,20,,,,,,5,2026-04-28,2026-04-28
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927936053315969,2026-04-28,981,1,8,8,1,,5,1,,,,,,1,2026-04-28,2026-04-28
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-28,31032,2,122,148,"1,21311475",,65,18,,,,,,3,2026-04-28,2026-04-28
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-28,30807,1,174,215,"1,23563218",,68,16,1,,,,,2,2026-04-28,2026-04-28
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-28,52934,8,744,782,"1,05107527",,400,112,2,,,,,14,2026-04-28,2026-04-28
S03 - PD x AKIA - Message,Qrevo C Pro - 260426 - 1397796915698979,2026-04-28,31995,,126,139,"1,1031746",,45,12,,,,,,,2026-04-28,2026-04-28
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260423 - 1437085235101658,2026-04-28,18693,2,246,357,"1,45121951",,59,11,1,,,,,2,2026-04-28,2026-04-28
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-04-28,33469,2,334,404,"1,20958084",,68,22,,,,,,7,2026-04-28,2026-04-28
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260421 - 1435420288601486,2026-04-28,2956,,24,31,"1,29166667",,3,,,,,,,,2026-04-28,2026-04-28
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-04-28,47690,2,239,262,"1,09623431",,69,20,,,,,,4,2026-04-28,2026-04-28
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-28,25148,1,340,449,"1,32058824",,97,29,,,,,,10,2026-04-28,2026-04-28
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-28,33704,,128,165,"1,2890625",,58,13,,,,,,3,2026-04-28,2026-04-28
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-28,33504,2,193,237,"1,22797927",,63,18,,,,,,1,2026-04-28,2026-04-28
